Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Oil Marketing &amp; Distribution,Equity
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Auto Parts &amp; Equipment,Equity
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,ST,10.00,INE432A01017,Pharmaceuticals,Equity
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Housing Finance ,Equity
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,ST,10.00,INE714B01016,Commodity Chemicals,Equity
500013,ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity
500014,APPLEFIN,APPLE FINANCE LTD.,Active,XD,10.00,INE096A01010,Finance (including NBFCs),Equity
500020,BOMDYEING,BOMBAY DYEING &amp; MFG.CO.LTD.,Active,A ,2.00,INE032A01023,Textiles,Equity
500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Hotels,Equity
500024,ASSAMCO,Assam Company (India) Limited,Active,B ,1.00,INE442A01024,Tea &amp; Coffee,Equity
500027,ATUL,ATUL LTD.,Active,A ,10.00,INE100A01010,Agrochemicals,Equity
500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Construction &amp; Engineering,Equity
500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,Active,B ,10.00,INE448A01013,Auto Parts &amp; Equipment,Equity
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.00,INE193E01025,Household Appliances,Equity
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,B ,1.00,INE306A01021,Sugar,Equity
500033,FORCEMOT,FORCE MOTORS LTD.-$,Active,B ,10.00,INE451A01017,Cars &amp; Utility Vehicles,Equity
500034,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Finance (including NBFCs),Equity
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Parts &amp; Equipment,Equity
500040,CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Cement &amp; Cement Products,Equity
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10.00,INE459A01010,Sugar,Equity
500042,BASF,BASF INDIA LTD.,Active,B ,10.00,INE373A01013,Specialty Chemicals,Equity
500043,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Footwear,Equity
500048,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Commercial Vehicles,Equity
500049,BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Defence,Equity
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.00,INE922A01025,Specialty Chemicals,Equity
500055,BHUSANSTL,BHUSHAN STEEL LTD.,Active,B ,2.00,INE824B01021,Iron &amp; Steel/Interm.Products,Equity
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Iron &amp; Steel/Interm.Products,Equity
500059,BINANIIND,BINANI INDUSTRIES LTD.,Active,B ,10.00,INE071A01013,Holding Companies,Equity
500060,BIRLACABLE,Birla Cable Ltd,Active,T ,10.00,INE800A01015,Other Elect.Equip./ Prod.,Equity
500067,BLUESTARCO,BLUE STAR LTD.,Active,B ,2.00,INE472A01039,Consumer Electronics,Equity
500068,DISAQ,DISA INDIA LTD.,Active,XC,10.00,INE131C01011,Industrial Machinery,Equity
500069,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,XD,10.00,INE418C01012,Other Financial Services,Equity
500074,BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity
500078,CAMPHOR,CAMPHOR &amp; ALLIED PRODUCTS LTD.-$,Active,XC,10.00,INE959C01015,Commodity Chemicals,Equity
500083,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Aluminium,Equity
500084,CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity
500085,CHAMBLFERT,CHAMBAL FERTILISERS &amp; CHEMICALS LTD.,Active,B ,10.00,INE085A01013,Fertilizers,Equity
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts &amp; Equipment,Equity
500087,CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity
500089,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Specialty Chemicals,Equity
500092,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity
500093,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2.00,INE067A01029,Heavy Electrical Equipment,Equity
500096,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.00,INE495A01022,Sugar,Equity
500101,ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity
500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,B ,2.00,INE294A01037,Paper &amp; Paper Products,Equity
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity
500106,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10.00,INE153A01019,Telecom Services,Equity
500109,MRPL,MANGALORE REFINERY &amp; PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Refineries/ Petro-Products,Equity
500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,A ,10.00,INE013A01015,Finance (including NBFCs),Equity
500112,SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Banks,Equity
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron &amp; Steel/Interm.Products,Equity
500114,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Other Apparels &amp; Accessories,Equity
500116,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity
500117,DCW,DCW LTD.,Active,T ,2.00,INE500A01029,Petrochemicals,Equity
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,B ,10.00,INE041A01016,Sugar,Equity
500120,DIAMINESQ,DIAMINES &amp; CHEMICALS LTD.-$,Active,XD,10.00,INE591D01014,Commodity Chemicals,Equity
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B ,10.00,INE280B01018,Commodity Chemicals,Equity
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Sugar,Equity
500126,MERCK,MERCK LTD.,Active,B ,10.00,INE199A01012,Pharmaceuticals,Equity
500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.00,INE086A01029,Construction &amp; Engineering,Equity
500132,EMPEESUG,EMPEE SUGARS &amp; CHEMICALS LTD.,Active,XD,10.00,INE928B01012,Sugar,Equity
500133,ESABINDIA,ESAB INDIA LTD.,Active,B ,10.00,INE284A01012,Other Industrial Goods,Equity
500135,ESSELPRO,ESSEL PROPACK LTD.,Active,B ,2.00,INE255A01020,Containers &amp; Packaging,Equity
500136,ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.00,INE778B01029,Commodity Chemicals,Equity
500139,FEDDERELEC,Fedders Electric and Engineering Ltd,Active,B ,10.00,INE249C01011,Other Elect.Equip./ Prod.,Equity
500141,FERROALL,FERRO ALLOYS CORPORATION LTD.,Active,ST,1.00,INE912A01026,Iron &amp; Steel/Interm.Products,Equity
500142,FGP,FGP LTD.,Active,XT,10.00,INE512A01016,Finance (including NBFCs),Equity
500143,PHCAP,PH CAPITAL LTD.,Active,XD,10.00,INE160F01013,Comm.Trading  &amp; Distribution,Equity
500144,FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.00,INE235A01022,Other Elect.Equip./ Prod.,Equity
500147,CMIFPE,CMI FPE LTD.-$,Active,XC,10.00,INE515A01019,Industrial Machinery,Equity
500148,UFLEX,UFLEX LTD.,Active,B ,10.00,INE516A01017,Containers &amp; Packaging,Equity
500150,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.00,INE519A01011,Commodity Chemicals,Equity
500151,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,T ,10.00,INE973A01010,Cigarettes-Tobacco Products,Equity
500153,GANESHBE,GANESH BENZOPLAST LTD.,Active,XC,1.00,INE388A01029,Commodity Chemicals,Equity
500155,GARDENSILK,GARDEN SILK MILLS LTD.,Active,B ,10.00,INE526A01016,Textiles,Equity
500159,METROGLOBL,Metroglobal Limited,Active,XC,10.00,INE085D01033,Paper &amp; Paper Products,Equity
500160,GTL,GTL LTD.,Active,B ,10.00,INE043A01012,Other Telecom Services,Equity
500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.00,INE260B01028,Cigarettes-Tobacco Products,Equity
500164,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Commodity Chemicals,Equity
500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.00,INE531A01024,Furniture-Furnishing-Paints,Equity
500166,GOODRICKE,GOODRICKE GROUP LTD.,Active,XC,10.00,INE300A01016,Tea &amp; Coffee,Equity
500168,GOODYEAR,GOODYEAR INDIA LTD.,Active,B ,10.00,INE533A01012,Auto Tyres &amp; Rubber Products,Equity
500170,GTNINDS,GTN INDUSTRIES LTD.,Active,B ,10.00,INE537A01013,Textiles,Equity
500171,GHCL,GHCL LTD.,Active,A ,10.00,INE539A01019,Commodity Chemicals,Equity
500173,GUJFLUORO,GUJARAT FLUOROCHEMICALS LTD.,Active,B ,1.00,INE538A01037,Industrial Gases,Equity
500174,GLFL,GUJARAT LEASE FINANCING LTD.,Active,T ,10.00,INE540A01017,Finance (including NBFCs),Equity
500179,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,A ,2.00,INE236A01020,Computer Hardware,Equity
500180,HDFCBANK,HDFC Bank Ltd,Active,A ,2.00,INE040A01026,Banks,Equity
500182,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity
500183,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LTD.,Active,B ,1.00,INE548A01028,Telecom Cables,Equity
500184,HSCL,Himadri Speciality Chemical Ltd,Active,B ,1.00,INE019C01026,Specialty Chemicals,Equity
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.00,INE549A01026,Construction &amp; Engineering,Equity
500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,B ,10.00,INE345A01011,Exploration &amp; Production,Equity
500187,HSIL,HSIL LTD.,Active,B ,2.00,INE415A01038,Containers &amp; Packaging,Equity
500188,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity
500189,HINDUJAVEN,HINDUJA VENTURES LTD.,Active,B ,10.00,INE353A01023,Broadcasting &amp; Cable TV,Equity
500191,HMT,HMT LTD.,Active,Z ,10.00,INE262A01018,Commercial Vehicles,Equity
500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10.00,INE962B01011,Textiles,Equity
500193,HOTELEELA,HOTEL LEELAVENTURE LTD.,Active,B ,2.00,INE102A01024,Hotels,Equity
500199,IGPL,I G PETROCHEMICALS LTD.,Active,B ,10.00,INE204A01010,Commodity Chemicals,Equity
500201,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,B ,10.00,INE560A01015,Commodity Chemicals,Equity
500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,XT,10.00,INE333C01013,Finance (including NBFCs),Equity
500206,MARGOFIN,Margo Finance Limited,Active,XT,10.00,INE680B01019,Finance (including NBFCs),Equity
500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B ,10.00,INE156A01020,Textiles,Equity
500209,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting &amp; Software,Equity
500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,B ,10.00,INE177A01018,Industrial Machinery,Equity
500211,INSILCO,INSILCO LTD.,Active,XT,10.00,INE901A01011,Other Industrial Goods,Equity
500212,IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Active,XT,10.00,INE898B01017,Finance (including NBFCs),Equity
500213,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,XC,10.00,INE262B01016,Travel Support Services,Equity
500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,XT,10.00,INE570A01014,Industrial Machinery,Equity
500215,ATFL,AGRO TECH FOODS LTD.,Active,B ,10.00,INE209A01019,Other Agricultural Products,Equity
500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products,Equity
500220,JASCH,JASCH INDUSTRIES LTD.,Active,XD,10.00,INE711C01010,Textiles,Equity
500223,JCTLTD,JCT LTD.,Active,XC,2.50,INE945A01026,Textiles,Equity
500227,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,B ,10.00,INE197D01010,Commodity Chemicals,Equity
500228,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.00,INE019A01038,Iron &amp; Steel/Interm.Products,Equity
500231,UMANGDAIR,UMANG DAIRIES LTD.,Active,B ,5.00,INE864B01027,Packaged Foods,Equity
500233,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.00,INE217B01036,Furniture-Furnishing-Paints,Equity
500234,KAKATCEM,KAKATIYA CEMENT SUGAR &amp; INDUSTRIES LTD.,Active,B ,10.00,INE437B01014,Cement &amp; Cement Products,Equity
500235,KSL,KALYANI STEELS LTD.,Active,B ,5.00,INE907A01026,Iron &amp; Steel/Interm.Products,Equity
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.00,INE716A01013,Consumer Electronics,Equity
500239,KGDENIM,KG DENIM LTD.,Active,XC,10.00,INE104A01012,Textiles,Equity
500240,KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10.00,INE266B01017,2/3 Wheelers,Equity
500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,B ,2.00,INE732A01036,Industrial Machinery,Equity
500243,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10.00,INE250A01039,Industrial Machinery,Equity
500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,B ,5.00,INE884B01025,Iron &amp; Steel/Interm.Products,Equity
500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,XD,10.00,INE601C01013,Industrial Machinery,Equity
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Banks,Equity
500248,MAVIIND,MAVI INDUSTRIES LTD.,Active,T ,10.00,INE073A01019,Plastic Products,Equity
500249,KSBPUMPS,KSB PUMPS LTD.,Active,B ,10.00,INE999A01015,Industrial Machinery,Equity
500250,LGBBROSLTD,L.G.BALAKRISHNAN &amp; BROS.LTD.,Active,B ,10.00,INE337A01034,Auto Parts &amp; Equipment,Equity
500251,TRENT,TRENT LTD.,Active,A ,1.00,INE849A01020,Department Stores,Equity
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Industrial Machinery,Equity
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance ,Equity
500254,UTTAMVALUE,UTTAM VALUE STEELS LTD.,Active,B ,1.00,INE292A01023,Iron &amp; Steel/Interm.Products,Equity
500255,LML,LML LTD.,Active,B ,10.00,INE862A01015,2/3 Wheelers,Equity
500257,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity
500259,LYKALABS,LYKA LABS LTD.,Active,B ,10.00,INE933A01014,Pharmaceuticals,Equity
500260,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.00,INE331A01037,Cement &amp; Cement Products,Equity
500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Active,XC,10.00,INE270B01027,Textiles,Equity
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,B ,5.00,INE271B01025,Construction &amp; Engineering,Equity
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,B ,10.00,INE288A01013,Investment Companies,Equity
500267,MAJESAUT,MAJESTIC AUTO LTD.-$,Active,XC,10.00,INE201B01022,2/3 Wheelers,Equity
500268,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B ,5.00,INE201A01024,Petrochemicals,Equity
500271,MFSL,Max Financial Services Ltd,Active,A ,2.00,INE180A01020,Life Insurance,Equity
500277,MIDINDIA,MID INDIA INDUSTRIES LTD.,Active,XT,10.00,INE401C01018,Textiles,Equity
500279,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,B ,1.00,INE831A01028,Consumer Electronics,Equity
500280,CENTENKA,CENTURY ENKA LTD.,Active,B ,10.00,INE485A01015,Textiles,Equity
500284,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,XT,10.00,INE846D01012,Commodity Chemicals,Equity
500285,SPICEJET,SPICEJET LTD.,Active,B ,10.00,INE285B01017,Airlines,Equity
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,B ,2.00,INE083A01026,Pharmaceuticals,Equity
500290,MRF,MRF LTD.,Active,A ,10.00,INE883A01011,Auto Tyres &amp; Rubber Products,Equity
500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,B ,10.00,INE578A01017,Cement &amp; Cement Products,Equity
500294,NCC,NCC Limited,Active,A ,2.00,INE868B01028,Construction &amp; Engineering,Equity
500295,VEDL,Vedanta Limited,Active,A ,1.00,INE205A01025,Iron &amp; Steel/Interm.Products,Equity
500296,NAHARSPING,NAHAR SPINNING MILLS LTD.,Active,B ,5.00,INE290A01027,Textiles,Equity
500298,NATPEROX,NATIONAL PEROXIDE LTD.,Active,XC,10.00,INE585A01020,Commodity Chemicals,Equity
500300,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.00,INE047A01021,Cement &amp; Cement Products,Equity
500302,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.00,INE140A01024,Pharmaceuticals,Equity
500304,NIITLTD,NIIT LTD.,Active,B ,2.00,INE161A01038,IT Training Services,Equity
500306,JAYKAY,JAYKAY ENTERPRISES LTD.,Active,XD,1.00,INE903A01025,Finance (including NBFCs),Equity
500307,NIRLON,NIRLON LTD.,Active,B ,10.00,INE910A01012,Misc.Commercial Services,Equity
500312,ONGC,OIL AND NATURAL GAS CORPORATION LTD.,Active,A ,5.00,INE213A01029,Exploration &amp; Production,Equity
500313,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,B ,10.00,INE591A01010,Oil Equipment &amp; Services,Equity
500314,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B ,1.00,INE750A01020,Hotels,Equity
500315,ORIENTBANK,ORIENTAL BANK OF COMMERCE,Active,A ,10.00,INE141A01014,Banks,Equity
500317,OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,B ,10.00,INE142A01012,Investment Companies,Equity
500319,INDSUCR,INDIAN SUCROSE LTD.,Active,XT,10.00,INE557C01017,Sugar,Equity
500322,PANCM,PANYAM CEMENTS &amp; MINERAL INDUSTRIES LTD.,Active,XC,10.00,INE167E01029,Cement &amp; Cement Products,Equity
500325,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10.00,INE002A01018,Integrated Oil &amp; Gas,Equity
500327,PILITA,Pil Italica Lifestyle Ltd,Active,T ,1.00,INE600A01035,Plastic Products,Equity
500330,RAYMOND,RAYMOND LTD.,Active,A ,10.00,INE301A01014,Textiles,Equity
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.00,INE318A01026,Specialty Chemicals,Equity
500333,PIXTRANS,PIX TRANSMISSIONS LTD.,Active,XC,10.00,INE751B01018,Auto Tyres &amp; Rubber Products,Equity
500335,BIRLACORPN,BIRLA CORPORATION LTD.,Active,B ,10.00,INE340A01012,Cement &amp; Cement Products,Equity
500336,SURYAROSNI,SURYA ROSHNI LTD.,Active,B ,10.00,INE335A01012,Iron &amp; Steel Products,Equity
500337,PRIMESECU,PRIME SECURITIES LTD.,Active,B ,5.00,INE032B01021,Other Financial Services,Equity
500338,PRISMCEM,PRISM CEMENT LTD.,Active,B ,10.00,INE010A01011,Cement &amp; Cement Products,Equity
500339,RAIN,Rain Industries Ltd,Active,B ,2.00,INE855B01025,Petrochemicals,Equity
500343,PDUMJEPULP,PUDUMJEE PULP &amp; PAPER MILLS LTD.,Active,B ,2.00,INE606A01024,Paper &amp; Paper Products,Equity
500346,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Active,XD,10.00,INE609A01010,Telecom Equipment,Equity
500350,RSWM,RSWM LTD.,Active,B ,10.00,INE611A01016,Textiles,Equity
500354,RAJSREESUG,RAJSHREE SUGARS &amp; CHEMICALS LTD.,Active,B ,10.00,INE562B01019,Sugar,Equity
500355,RALLIS,RALLIS INDIA LTD.,Active,A ,1.00,INE613A01020,Agrochemicals,Equity
500356,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.00,INE278B01020,Paper &amp; Paper Products,Equity
500357,RAMAPPR-B,RAMA PAPER MILLS LTD.,Active,XD,10.00,INE425E01013,Paper &amp; Paper Products,Equity
500358,RAMAPETRO,RAMA PETROCHEMICALS LTD.,Active,XT,10.00,INE783A01013,Finance (including NBFCs),Equity
500360,RAPICUT,RAPICUT CARBIDES LTD.,Active,XD,10.00,INE350D01015,Other Non-Ferrous Metals,Equity
500365,RMGALLOY,RMG Alloy Steel Limited,Active,ST,6.00,INE731F01037,Iron &amp; Steel/Interm.Products,Equity
500366,ROLTA,ROLTA INDIA LTD.,Active,B ,10.00,INE293A01013,Internet Software &amp; Services,Equity
500367,RUBFILA,RUBFILA INTERNATIONAL LTD.,Active,XC,5.00,INE642C01025,Auto Tyres &amp; Rubber Products,Equity
500368,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Active,B ,2.00,INE619A01027,Edible Oils,Equity
500370,SALORAINTL,SALORA INTERNATIONAL LTD.,Active,B ,10.00,INE924A01013,Comm.Trading  &amp; Distribution,Equity
500371,SAMTELIN,SAMTEL INDIA LTD.-$,Active,XT,10.00,INE538C01017,Consumer Electronics,Equity
500372,SAMTEL,SAMTEL COLOR LTD.,Active,T ,10.00,INE381A01016,Consumer Electronics,Equity
500378,JINDALSAW,JINDAL SAW LTD.,Active,B ,2.00,INE324A01024,Construction &amp; Engineering,Equity
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A ,5.00,INE786A01032,Cement &amp; Cement Products,Equity
500387,SHREECEM,SHREE CEMENT LTD.,Active,A ,10.00,INE070A01015,Cement &amp; Cement Products,Equity
500388,SKPMIL,SHREE KRISHNA PAPER MILLS &amp; INDUSTRIES LTD.,Active,XT,10.00,INE970C01012,Paper &amp; Paper Products,Equity
500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.00,INE036A01016,Electric Utilities,Equity
500394,SOLCT,SOLID CARBIDE TOOLS LTD.,Active,XT,1.00,INE161C01026,Other Industrial Goods,Equity
500399,STEELCO,STEELCO GUJARAT LTD.,Active,XD,10.00,INE629B01024,Iron &amp; Steel/Interm.Products,Equity
500400,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.00,INE245A01021,Electric Utilities,Equity
500402,SPMLINFRA,SPML Infra Limited,Active,B ,2.00,INE937A01023,Construction &amp; Engineering,Equity
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A ,1.00,INE387A01021,Auto Parts &amp; Equipment,Equity
500404,SUNFLAG,SUNFLAG IRON &amp; STEEL CO.LTD.,Active,B ,10.00,INE947A01014,Iron &amp; Steel/Interm.Products,Equity
500405,SUPPETRO,SUPREME PETROCHEM LTD.,Active,B ,10.00,INE663A01017,Petrochemicals,Equity
500407,SWARAJENG,SWARAJ ENGINES LTD.,Active,B ,10.00,INE277A01016,Auto Parts &amp; Equipment,Equity
500408,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.00,INE670A01012,IT Software Products,Equity
500410,ACC,ACC LTD.,Active,A ,10.00,INE012A01025,Cement &amp; Cement Products,Equity
500411,THERMAX,THERMAX LTD.,Active,A ,2.00,INE152A01029,Heavy Electrical Equipment,Equity
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,B ,10.00,INE338A01016,Commodity Chemicals,Equity
500413,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,B ,1.00,INE332A01027,Travel Support Services,Equity
500414,TIMEX,TIMEX GROUP INDIA LTD.-$,Active,XT,1.00,INE064A01026,Other Apparels &amp; Accessories,Equity
500418,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Active,B ,10.00,INE932C01012,Plastic Products,Equity
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.00,INE685A01028,Pharmaceuticals,Equity
500421,TPINDIA,TPI INDIA LTD.,Active,XT,1.00,INE578C01021,Containers &amp; Packaging,Equity
500422,TRANSCHEM,TRANSCHEM LTD.-$,Active,XD,10.00,INE019B01010,Pharmaceuticals,Equity
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.00,INE079A01024,Cement &amp; Cement Products,Equity
500426,UTLINDS,UTL Industries Limited,Active,XT,1.00,INE184E01024,Copper,Equity
500429,UNIPHOS,UNIPHOS ENTERPRISES LTD.,Active,B ,2.00,INE037A01022,Comm.Trading  &amp; Distribution,Equity
500439,VHL,VARDHMAN HOLDINGS LTD.,Active,B ,10.00,INE701A01023,Finance (including NBFCs),Equity
500440,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.00,INE038A01020,Aluminium,Equity
500444,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,B ,2.00,INE976A01021,Paper &amp; Paper Products,Equity
500449,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,Active,B ,10.00,INE048A01011,Commodity Chemicals,Equity
500450,MPILCORPL,MPIL CORPORATION LTD.,Active,XT,10.00,INE844C01027,Other Financial Services,Equity
500456,PASUPTAC,PASUPATI ACRYLON LTD.,Active,XC,10.00,INE818B01023,Fibres &amp; Plastics,Equity
500458,KORE,Kore Foods Ltd,Active,XT,10.00,INE601A01017,Photographic Products,Equity
500459,PGHH,PROCTER &amp; GAMBLE HYGIENE &amp; HEALTH CARE LTD.,Active,A ,10.00,INE179A01014,Personal Products,Equity
